Var2,Freq,Var2.1,Freq.1,Var2.2,Freq.2
Unique.Open.Count,Mean   :  4.173  ,Unique.Open.Count,Mean   : 1.521  ,Unique.Open.Count,Mean   :  9.398  
Unique.Open.Count,3rd Qu.:  3.000  ,Unique.Open.Count,3rd Qu.: 2.000  ,Unique.Open.Count,3rd Qu.:  8.000  
Unique.Open.Count,Max.   :196.000  ,Unique.Open.Count,Max.   :55.000  ,Unique.Open.Count,Max.   :190.000  
Unique.Open.Count,NA's   :813  ,Unique.Open.Count,NA's   :959  ,Unique.Open.Count,NA's   :145  
Unique.Click.Count,Min.   : 0.0000  ,Unique.Click.Count,Min.   :0.000  ,Unique.Click.Count,Min.   : 0.00  
Unique.Click.Count,1st Qu.: 0.0000  ,Unique.Click.Count,1st Qu.:0.000  ,Unique.Click.Count,1st Qu.: 0.00  
Unique.Click.Count,Median : 0.0000  ,Unique.Click.Count,Median :0.000  ,Unique.Click.Count,Median : 0.00  
Unique.Click.Count,Mean   : 0.3851  ,Unique.Click.Count,Mean   :0.144  ,Unique.Click.Count,Mean   : 1.09  
Unique.Click.Count,3rd Qu.: 0.0000  ,Unique.Click.Count,3rd Qu.:0.000  ,Unique.Click.Count,3rd Qu.: 1.00  
Unique.Click.Count,Max.   :19.0000  ,Unique.Click.Count,Max.   :3.000  ,Unique.Click.Count,Max.   :36.00  
Unique.Click.Count,NA's   :813  ,Unique.Click.Count,NA's   :959  ,Unique.Click.Count,NA's   :145  
diff_in_years,Min.   :0.08219  ,diff_in_years,Min.   : 0.08219  ,diff_in_years,Min.   :78.81  
diff_in_years,1st Qu.:0.26027  ,diff_in_years,1st Qu.: 0.25205  ,diff_in_years,1st Qu.:78.84  
diff_in_years,Median :0.50685  ,diff_in_years,Median : 0.50137  ,diff_in_years,Median :78.88  
diff_in_years,Mean   :0.74473  ,diff_in_years,Mean   : 1.15336  ,diff_in_years,Mean   :78.98  
diff_in_years,3rd Qu.:1.00274  ,diff_in_years,3rd Qu.: 1.00000  ,diff_in_years,3rd Qu.:78.91  
diff_in_years,Max.   :3.89041  ,diff_in_years,Max.   :79.97260  ,diff_in_years,Max.   :80.30  
diff_in_years,NA,diff_in_years,NA,diff_in_years,NA
diff_in_months,Min.   : 1.000  ,diff_in_months,Min.   :  1.00  ,diff_in_months,Min.   :959  
diff_in_months,1st Qu.: 3.000  ,diff_in_months,1st Qu.:  3.00  ,diff_in_months,1st Qu.:959  
diff_in_months,Median : 6.000  ,diff_in_months,Median :  6.00  ,diff_in_months,Median :960  
diff_in_months,Mean   : 8.925  ,diff_in_months,Mean   : 13.91  ,diff_in_months,Mean   :961  
diff_in_months,3rd Qu.:12.000  ,diff_in_months,3rd Qu.: 12.00  ,diff_in_months,3rd Qu.:960  
diff_in_months,Max.   :47.000  ,diff_in_months,Max.   :973.00  ,diff_in_months,Max.   :977  
diff_in_months,NA,diff_in_months,NA,diff_in_months,NA
 diff_in_days,Min.   :  30.0  , diff_in_days,Min.   :   30  , diff_in_days,Min.   :28765  
 diff_in_days,1st Qu.:  95.0  , diff_in_days,1st Qu.:   92  , diff_in_days,1st Qu.:28776  
 diff_in_days,Median : 185.0  , diff_in_days,Median :  183  , diff_in_days,Median :28791  
 diff_in_days,Mean   : 271.8  , diff_in_days,Mean   :  421  , diff_in_days,Mean   :28829  
 diff_in_days,3rd Qu.: 366.0  , diff_in_days,3rd Qu.:  365  , diff_in_days,3rd Qu.:28803  
 diff_in_days,Max.   :1420.0  , diff_in_days,Max.   :29190  , diff_in_days,Max.   :29311  
 diff_in_days,NA, diff_in_days,NA, diff_in_days,NA
   cluster,Min.   :1  ,   cluster,Min.   :2  ,   cluster,Min.   :3  
   cluster,1st Qu.:1  ,   cluster,1st Qu.:2  ,   cluster,1st Qu.:3  
   cluster,Median :1  ,   cluster,Median :2  ,   cluster,Median :3  
   cluster,Mean   :1  ,   cluster,Mean   :2  ,   cluster,Mean   :3  
   cluster,3rd Qu.:1  ,   cluster,3rd Qu.:2  ,   cluster,3rd Qu.:3  
   cluster,Max.   :1  ,   cluster,Max.   :2  ,   cluster,Max.   :3  
   cluster,NA,   cluster,NA,   cluster,NA
